as_of,method,match_no,confirmed_fixture,predicted_fixture,correct_fixture,correct_display_order,confirmed_teams_in_this_slot,missing_confirmed_teams,extra_predicted_teams,confirmed_fixture_predicted_in_slot
2026-06-17,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-17,modal-group-table,80,England v DR Congo,England v Uzbekistan,no,no,1,DR Congo,Uzbekistan,-
2026-06-17,modal-group-table,81,United States v Bosnia and Herzegovina,Australia v Senegal,no,no,0,"Bosnia and Herzegovina, United States","Australia, Senegal",-
2026-06-17,modal-group-table,82,Belgium v Senegal,Belgium v Czechia,no,no,1,Senegal,Czechia,-
2026-06-17,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-17,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-17,modal-group-table,85,Switzerland v Algeria,Switzerland v Sweden,no,no,1,Algeria,Sweden,-
2026-06-17,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-17,modal-group-table,87,Colombia v Ghana,Colombia v Turkey,no,no,1,Ghana,Turkey,-
2026-06-17,modal-group-table,88,Australia v Egypt,United States v Egypt,no,no,1,Australia,United States,-
2026-06-18,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-18,expected-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-18,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-18,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-18,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-18,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-18,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-18,expected-table,80,England v DR Congo,England v Cape Verde,no,no,1,DR Congo,Cape Verde,-
2026-06-18,expected-table,81,United States v Bosnia and Herzegovina,United States v Senegal,no,no,1,Bosnia and Herzegovina,Senegal,-
2026-06-18,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-18,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-18,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-18,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-18,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-18,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-18,expected-table,88,Australia v Egypt,Australia v Iran,no,no,1,Egypt,Iran,-
2026-06-18,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-18,modal-group-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-18,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-18,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-18,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-18,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-18,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-18,modal-group-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-18,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Senegal,no,no,1,Bosnia and Herzegovina,Senegal,-
2026-06-18,modal-group-table,82,Belgium v Senegal,Iran v Algeria,no,no,0,"Belgium, Senegal","Algeria, Iran",-
2026-06-18,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-18,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-18,modal-group-table,85,Switzerland v Algeria,Canada v Belgium,no,no,0,"Algeria, Switzerland","Belgium, Canada",-
2026-06-18,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-18,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-18,modal-group-table,88,Australia v Egypt,Australia v New Zealand,no,no,1,Egypt,New Zealand,-
2026-06-19,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-19,expected-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-19,expected-table,75,Netherlands v Morocco,Netherlands v Brazil,no,no,1,Morocco,Brazil,-
2026-06-19,expected-table,76,Brazil v Japan,Morocco v Japan,no,no,1,Brazil,Morocco,-
2026-06-19,expected-table,77,France v Sweden,France v Australia,no,no,1,Sweden,Australia,-
2026-06-19,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-19,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-19,expected-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-19,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-19,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-19,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-19,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-19,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-19,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-19,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-19,expected-table,88,Australia v Egypt,Paraguay v Iran,no,no,0,"Australia, Egypt","Iran, Paraguay",-
2026-06-19,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-19,modal-group-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-19,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-19,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-19,modal-group-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-19,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-19,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-19,modal-group-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-19,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-19,modal-group-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-19,modal-group-table,83,Portugal v Croatia,Uzbekistan v Croatia,no,no,1,Portugal,Uzbekistan,-
2026-06-19,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-19,modal-group-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-19,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-19,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-19,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-20,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-20,expected-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-20,expected-table,75,Netherlands v Morocco,Netherlands v Brazil,no,no,1,Morocco,Brazil,-
2026-06-20,expected-table,76,Brazil v Japan,Morocco v Japan,no,no,1,Brazil,Morocco,-
2026-06-20,expected-table,77,France v Sweden,France v Australia,no,no,1,Sweden,Australia,-
2026-06-20,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-20,expected-table,79,Mexico v Ecuador,Mexico v Sweden,no,no,1,Ecuador,Sweden,-
2026-06-20,expected-table,80,England v DR Congo,England v Cape Verde,no,no,1,DR Congo,Cape Verde,-
2026-06-20,expected-table,81,United States v Bosnia and Herzegovina,United States v Senegal,no,no,1,Bosnia and Herzegovina,Senegal,-
2026-06-20,expected-table,82,Belgium v Senegal,Belgium v Algeria,no,no,1,Senegal,Algeria,-
2026-06-20,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-20,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-20,expected-table,85,Switzerland v Algeria,Canada v Egypt,no,no,0,"Algeria, Switzerland","Canada, Egypt",-
2026-06-20,expected-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-20,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-20,expected-table,88,Australia v Egypt,Paraguay v Iran,no,no,0,"Australia, Egypt","Iran, Paraguay",-
2026-06-20,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-20,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-20,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-20,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-20,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-20,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-20,modal-group-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-20,modal-group-table,80,England v DR Congo,England v Uzbekistan,no,no,1,DR Congo,Uzbekistan,-
2026-06-20,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Algeria,no,no,1,Bosnia and Herzegovina,Algeria,-
2026-06-20,modal-group-table,82,Belgium v Senegal,Belgium v Senegal,yes,yes,2,-,-,-
2026-06-20,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-20,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-20,modal-group-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-20,modal-group-table,86,Argentina v Cape Verde,Argentina v Uruguay,no,no,1,Cape Verde,Uruguay,-
2026-06-20,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-20,modal-group-table,88,Australia v Egypt,Australia v Egypt,yes,yes,2,-,-,-
2026-06-21,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-21,expected-table,74,Germany v Paraguay,Germany v Australia,no,no,1,Paraguay,Australia,-
2026-06-21,expected-table,75,Netherlands v Morocco,Netherlands v Brazil,no,no,1,Morocco,Brazil,-
2026-06-21,expected-table,76,Brazil v Japan,Morocco v Japan,no,no,1,Brazil,Morocco,-
2026-06-21,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-21,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-21,expected-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-21,expected-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-21,expected-table,81,United States v Bosnia and Herzegovina,United States v Algeria,no,no,1,Bosnia and Herzegovina,Algeria,-
2026-06-21,expected-table,82,Belgium v Senegal,Egypt v Senegal,no,no,1,Belgium,Egypt,-
2026-06-21,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-21,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-21,expected-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-21,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-21,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-21,expected-table,88,Australia v Egypt,Paraguay v Belgium,no,no,0,"Australia, Egypt","Belgium, Paraguay",-
2026-06-21,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-21,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-21,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-21,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-21,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-21,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-21,modal-group-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-21,modal-group-table,80,England v DR Congo,England v Portugal,no,no,1,DR Congo,Portugal,-
2026-06-21,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-21,modal-group-table,82,Belgium v Senegal,Egypt v Senegal,no,no,1,Belgium,Egypt,-
2026-06-21,modal-group-table,83,Portugal v Croatia,Uzbekistan v Croatia,no,no,1,Portugal,Uzbekistan,-
2026-06-21,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-21,modal-group-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-21,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-21,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-21,modal-group-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-22,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-22,expected-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-22,expected-table,75,Netherlands v Morocco,Netherlands v Brazil,no,no,1,Morocco,Brazil,-
2026-06-22,expected-table,76,Brazil v Japan,Morocco v Japan,no,no,1,Brazil,Morocco,-
2026-06-22,expected-table,77,France v Sweden,France v Australia,no,no,1,Sweden,Australia,-
2026-06-22,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-22,expected-table,79,Mexico v Ecuador,Mexico v Uruguay,no,no,1,Ecuador,Uruguay,-
2026-06-22,expected-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-22,expected-table,81,United States v Bosnia and Herzegovina,United States v Sweden,no,no,1,Bosnia and Herzegovina,Sweden,-
2026-06-22,expected-table,82,Belgium v Senegal,Egypt v Algeria,no,no,0,"Belgium, Senegal","Algeria, Egypt",-
2026-06-22,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-22,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-22,expected-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-22,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-22,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-22,expected-table,88,Australia v Egypt,Paraguay v Belgium,no,no,0,"Australia, Egypt","Belgium, Paraguay",-
2026-06-22,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-22,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-22,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-22,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-22,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-22,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-22,modal-group-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-22,modal-group-table,80,England v DR Congo,England v DR Congo,yes,yes,2,-,-,-
2026-06-22,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Algeria,no,no,1,Bosnia and Herzegovina,Algeria,-
2026-06-22,modal-group-table,82,Belgium v Senegal,Egypt v Senegal,no,no,1,Belgium,Egypt,-
2026-06-22,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-22,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-22,modal-group-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-22,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-22,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-22,modal-group-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-23,expected-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-23,expected-table,74,Germany v Paraguay,Germany v Australia,no,no,1,Paraguay,Australia,-
2026-06-23,expected-table,75,Netherlands v Morocco,Netherlands v Brazil,no,no,1,Morocco,Brazil,-
2026-06-23,expected-table,76,Brazil v Japan,Morocco v Japan,no,no,1,Brazil,Morocco,-
2026-06-23,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-23,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-23,expected-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-23,expected-table,80,England v DR Congo,England v Uruguay,no,no,1,DR Congo,Uruguay,-
2026-06-23,expected-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-23,expected-table,82,Belgium v Senegal,Egypt v Algeria,no,no,0,"Belgium, Senegal","Algeria, Egypt",-
2026-06-23,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-23,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-23,expected-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-23,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-23,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-23,expected-table,88,Australia v Egypt,Paraguay v Belgium,no,no,0,"Australia, Egypt","Belgium, Paraguay",-
2026-06-23,modal-group-table,73,South Africa v Canada,South Korea v Switzerland,no,no,0,"Canada, South Africa","South Korea, Switzerland",-
2026-06-23,modal-group-table,74,Germany v Paraguay,Germany v Scotland,no,no,1,Paraguay,Scotland,-
2026-06-23,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-23,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-23,modal-group-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-23,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-23,modal-group-table,79,Mexico v Ecuador,Mexico v Sweden,no,no,1,Ecuador,Sweden,-
2026-06-23,modal-group-table,80,England v DR Congo,England v Uruguay,no,no,1,DR Congo,Uruguay,-
2026-06-23,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Senegal,no,no,1,Bosnia and Herzegovina,Senegal,-
2026-06-23,modal-group-table,82,Belgium v Senegal,Egypt v Algeria,no,no,0,"Belgium, Senegal","Algeria, Egypt",-
2026-06-23,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-23,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-23,modal-group-table,85,Switzerland v Algeria,Canada v Iran,no,no,0,"Algeria, Switzerland","Canada, Iran",-
2026-06-23,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-23,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-23,modal-group-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-24,expected-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-24,expected-table,74,Germany v Paraguay,Germany v Australia,no,no,1,Paraguay,Australia,-
2026-06-24,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-24,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-24,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-24,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-24,expected-table,79,Mexico v Ecuador,Mexico v Scotland,no,no,1,Ecuador,Scotland,-
2026-06-24,expected-table,80,England v DR Congo,England v Algeria,no,no,1,DR Congo,Algeria,-
2026-06-24,expected-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-24,expected-table,82,Belgium v Senegal,Egypt v South Korea,no,no,0,"Belgium, Senegal","Egypt, South Korea",-
2026-06-24,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-24,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-24,expected-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-24,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-24,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-24,expected-table,88,Australia v Egypt,Paraguay v Belgium,no,no,0,"Australia, Egypt","Belgium, Paraguay",-
2026-06-24,modal-group-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-24,modal-group-table,74,Germany v Paraguay,Germany v South Korea,no,no,1,Paraguay,South Korea,-
2026-06-24,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-24,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-24,modal-group-table,77,France v Sweden,France v Paraguay,no,no,1,Sweden,Paraguay,-
2026-06-24,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-24,modal-group-table,79,Mexico v Ecuador,Mexico v Sweden,no,no,1,Ecuador,Sweden,-
2026-06-24,modal-group-table,80,England v DR Congo,England v Senegal,no,no,1,DR Congo,Senegal,-
2026-06-24,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-24,modal-group-table,82,Belgium v Senegal,Egypt v Algeria,no,no,0,"Belgium, Senegal","Algeria, Egypt",-
2026-06-24,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-24,modal-group-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-24,modal-group-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-24,modal-group-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-24,modal-group-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-24,modal-group-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-25,expected-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-25,expected-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-25,expected-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-25,expected-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-25,expected-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-25,expected-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-25,expected-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-25,expected-table,80,England v DR Congo,England v Algeria,no,no,1,DR Congo,Algeria,-
2026-06-25,expected-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-25,expected-table,82,Belgium v Senegal,Egypt v South Korea,no,no,0,"Belgium, Senegal","Egypt, South Korea",-
2026-06-25,expected-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
2026-06-25,expected-table,84,Spain v Austria,Spain v Austria,yes,yes,2,-,-,-
2026-06-25,expected-table,85,Switzerland v Algeria,Switzerland v Iran,no,no,1,Algeria,Iran,-
2026-06-25,expected-table,86,Argentina v Cape Verde,Argentina v Cape Verde,yes,yes,2,-,-,-
2026-06-25,expected-table,87,Colombia v Ghana,Colombia v Ghana,yes,yes,2,-,-,-
2026-06-25,expected-table,88,Australia v Egypt,Australia v Belgium,no,no,1,Egypt,Belgium,-
2026-06-25,modal-group-table,73,South Africa v Canada,South Africa v Canada,yes,yes,2,-,-,-
2026-06-25,modal-group-table,74,Germany v Paraguay,Germany v Paraguay,yes,yes,2,-,-,-
2026-06-25,modal-group-table,75,Netherlands v Morocco,Netherlands v Morocco,yes,yes,2,-,-,-
2026-06-25,modal-group-table,76,Brazil v Japan,Brazil v Japan,yes,yes,2,-,-,-
2026-06-25,modal-group-table,77,France v Sweden,France v Sweden,yes,yes,2,-,-,-
2026-06-25,modal-group-table,78,Ivory Coast v Norway,Ivory Coast v Norway,yes,yes,2,-,-,-
2026-06-25,modal-group-table,79,Mexico v Ecuador,Mexico v Ecuador,yes,yes,2,-,-,-
2026-06-25,modal-group-table,80,England v DR Congo,England v Algeria,no,no,1,DR Congo,Algeria,-
2026-06-25,modal-group-table,81,United States v Bosnia and Herzegovina,United States v Bosnia and Herzegovina,yes,yes,2,-,-,-
2026-06-25,modal-group-table,82,Belgium v Senegal,Egypt v South Korea,no,no,0,"Belgium, Senegal","Egypt, South Korea",-
2026-06-25,modal-group-table,83,Portugal v Croatia,Portugal v Croatia,yes,yes,2,-,-,-
